City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Ribeira Grande,PT,38.52,-28.7,68.7,82,8,15.82,clear sky,0.0,0.0
1,Punta Arenas,CL,-53.15,-70.92,33.8,86,43,8.05,light snow,0.0,0.0
2,Ranaghat,IN,23.18,88.58,82.4,94,75,4.7,haze,0.0,0.0
3,Qaqortoq,GL,60.72,-46.03,51.8,57,100,4.7,light rain,0.0,0.0
4,Kodiak,US,57.79,-152.41,57.2,62,90,9.17,overcast clouds,0.0,0.0
5,Bambous Virieux,MU,-20.34,57.76,72.0,83,75,12.75,shower rain,0.0,0.0
6,Pevek,RU,69.7,170.31,49.57,70,55,6.15,broken clouds,0.0,0.0
7,Voznesenskaya,RU,44.55,41.03,64.92,83,98,6.49,overcast clouds,0.0,0.0
8,East London,ZA,-33.02,27.91,60.12,35,0,15.28,clear sky,0.0,0.0
9,Puerto Madryn,AR,-42.77,-65.04,39.96,67,0,23.26,clear sky,0.0,0.0
10,Khatanga,RU,71.97,102.5,60.6,63,46,19.08,scattered clouds,0.0,0.0
11,Busselton,AU,-33.65,115.33,59.0,68,98,12.8,light rain,0.0,0.0
12,Piacabucu,BR,-10.41,-36.43,73.94,85,0,7.36,clear sky,0.0,0.0
13,Havre-Saint-Pierre,CA,50.23,-63.6,69.8,94,90,3.36,light rain,0.0,0.0
14,Karratha,AU,-20.74,116.85,67.15,25,0,19.73,clear sky,0.0,0.0
15,Goderich,CA,43.75,-81.72,66.99,81,0,10.45,clear sky,0.0,0.0
16,Mahebourg,MU,-20.41,57.7,69.8,83,75,12.75,shower rain,0.0,0.0
17,Rikitea,PF,-23.12,-134.97,71.2,73,90,14.18,overcast clouds,0.0,0.0
18,Forbes,AU,-33.38,148.02,48.99,86,98,5.03,overcast clouds,0.0,0.0
19,Vardo,NO,70.37,31.11,47.08,89,0,3.47,clear sky,0.0,0.0
20,Assiniboia,CA,49.63,-105.98,76.78,40,62,13.18,broken clouds,0.0,0.0
21,Sorland,NO,67.67,12.69,51.71,83,0,8.03,clear sky,0.0,0.0
22,Puerto Ayora,EC,-0.74,-90.35,68.0,90,82,1.01,broken clouds,0.0,0.0
23,Aksha,RU,50.28,113.29,71.58,63,0,5.66,clear sky,0.0,0.0
24,Butaritari,KI,3.07,172.79,83.8,76,69,12.03,broken clouds,0.0,0.0
25,Nong Han,TH,17.36,103.11,77.0,94,20,6.93,few clouds,0.0,0.0
26,Cape Town,ZA,-33.93,18.42,59.0,93,75,28.86,light rain,0.0,0.0
27,Sola,VU,-13.88,167.55,80.6,78,90,23.04,overcast clouds,0.0,0.0
28,Tuktoyaktuk,CA,69.45,-133.04,57.2,62,75,10.29,broken clouds,0.0,0.0
29,Hilo,US,19.73,-155.09,84.2,58,20,9.17,few clouds,0.0,0.0
30,Darhan,MN,49.49,105.92,69.22,66,0,4.68,clear sky,0.0,0.0
31,Constitucion,CL,-35.33,-72.42,52.65,84,100,5.61,overcast clouds,0.0,0.0
32,Vaini,TO,-21.2,-175.2,71.55,77,62,26.24,broken clouds,0.0,0.0
33,Jamestown,US,42.1,-79.24,70.0,73,1,6.93,clear sky,0.0,0.0
34,Carnarvon,AU,-24.87,113.63,59.0,93,0,4.7,clear sky,0.0,0.0
35,Hobart,AU,-42.88,147.33,46.0,87,75,5.82,broken clouds,0.0,0.0
36,Barrow,US,71.29,-156.79,39.2,80,90,9.17,overcast clouds,0.0,0.0
37,Saint-Joseph,RE,-21.37,55.62,64.4,72,27,8.05,light rain,0.0,0.0
38,Gold Coast,AU,-28.0,153.43,66.99,63,40,6.93,scattered clouds,0.0,0.0
39,Nemuro,JP,43.32,145.57,60.8,87,75,3.36,broken clouds,0.0,0.0
40,Castro,BR,-24.79,-50.01,58.1,88,5,4.76,clear sky,0.0,0.0
41,Saint-Philippe,RE,-21.36,55.77,64.4,72,46,8.05,light rain,0.0,0.0
42,Manuk Mangkaw,PH,4.8,119.85,83.03,71,86,5.26,overcast clouds,0.0,0.0
43,Hithadhoo,MV,-0.6,73.08,84.56,73,42,10.29,scattered clouds,0.0,0.0
44,Dikson,RU,73.51,80.55,41.22,96,100,5.93,overcast clouds,0.0,0.0
45,Talnakh,RU,69.49,88.4,55.4,71,100,6.71,overcast clouds,0.0,0.0
46,Codrington,AU,-38.27,141.97,54.18,80,0,5.77,clear sky,0.0,0.0
47,Mataura,NZ,-46.19,168.86,44.11,84,75,4.54,broken clouds,0.0,0.0
48,Souillac,MU,-20.52,57.52,69.8,83,75,12.75,shower rain,0.0,0.0
49,Storslett,NO,69.77,21.02,50.7,81,94,0.54,overcast clouds,0.0,0.0
50,Kaeo,NZ,-35.1,173.78,62.01,3,69,7.0,light rain,0.0,0.0
51,Ushuaia,AR,-54.8,-68.3,35.6,80,40,18.34,scattered clouds,0.0,0.0
52,Puerto Quijarro,BO,-17.78,-57.77,75.33,57,3,0.92,clear sky,0.0,0.0
53,Fortuna,US,40.6,-124.16,71.01,68,1,18.34,clear sky,0.0,0.0
54,Mar Del Plata,AR,-38.0,-57.56,42.8,60,0,23.04,clear sky,0.0,0.0
55,Saskylakh,RU,71.92,114.08,63.32,58,100,17.45,overcast clouds,0.0,0.0
56,Prince Rupert,CA,54.32,-130.32,59.0,77,1,6.93,clear sky,0.0,0.0
57,Atuona,PF,-9.8,-139.03,79.52,77,1,19.64,clear sky,0.0,0.0
58,Sao Joao Da Barra,BR,-21.64,-41.05,71.2,86,82,14.58,broken clouds,0.0,0.0
59,Baijiantan,CN,45.63,85.18,77.7,30,0,14.54,clear sky,0.0,0.0
60,Diamantino,BR,-14.41,-56.45,75.16,48,11,1.83,few clouds,0.0,0.0
61,Touros,BR,-5.2,-35.46,71.6,94,20,3.36,few clouds,0.0,0.0
62,Gazanjyk,TM,39.24,55.52,79.12,53,24,7.38,few clouds,0.0,0.0
63,Riyadh,SA,24.69,46.72,84.31,16,30,2.95,scattered clouds,0.0,0.0
64,Tasiilaq,GL,65.61,-37.64,37.4,86,38,9.17,scattered clouds,0.0,0.0
65,Krasnoselkup,RU,65.7,82.47,60.35,61,100,10.85,overcast clouds,0.0,0.0
66,Kosonsoy,UZ,41.26,71.55,73.4,53,100,4.7,overcast clouds,0.0,0.0
67,Bredasdorp,ZA,-34.53,20.04,62.6,48,95,19.46,moderate rain,0.0,0.0
68,Lorengau,PG,-2.02,147.27,85.59,62,50,4.38,scattered clouds,0.0,0.0
69,Kieta,PG,-6.22,155.63,79.23,83,100,8.81,moderate rain,0.0,0.0
70,Qaanaaq,GL,77.48,-69.36,45.05,65,97,2.33,overcast clouds,0.0,0.0
71,Dudinka,RU,69.41,86.18,55.4,71,100,6.71,overcast clouds,0.0,0.0
72,Port Elizabeth,ZA,-33.92,25.57,62.6,29,0,11.41,clear sky,0.0,0.0
73,Victoria,HK,22.29,114.16,87.01,70,1,5.01,clear sky,0.0,0.0
74,Bluff,NZ,-46.6,168.33,47.5,69,100,11.52,overcast clouds,0.0,0.0
75,Norman Wells,CA,65.28,-126.83,66.2,63,75,5.82,broken clouds,0.0,0.0
76,Arraial Do Cabo,BR,-22.97,-42.03,72.46,78,92,13.87,overcast clouds,0.0,0.0
77,Aripuana,BR,-9.17,-60.63,76.86,61,59,1.25,broken clouds,0.0,0.0
78,Sao Sebastiao,BR,-23.76,-45.41,74.37,60,0,5.55,clear sky,0.0,0.0
79,Bellmead,US,31.59,-97.11,98.6,47,5,6.93,clear sky,0.0,0.0
80,Cherskiy,RU,68.75,161.3,54.93,88,100,2.39,overcast clouds,0.0,0.0
81,Leningradskiy,RU,69.38,178.42,42.8,70,100,10.74,overcast clouds,0.0,0.0
82,Kapaa,US,22.08,-159.32,82.4,69,40,20.8,scattered clouds,0.0,0.0
83,Poronaysk,RU,49.22,143.12,60.78,83,99,4.16,overcast clouds,0.0,0.0
84,Pokrovo-Prigorodnoye,RU,52.68,41.42,61.9,85,37,6.76,scattered clouds,0.0,0.0
85,Tiksi,RU,71.69,128.87,64.62,48,0,8.1,clear sky,0.0,0.0
86,Airai,TL,-8.93,125.41,66.51,72,100,6.11,overcast clouds,0.0,0.0
87,Barra Do Garcas,BR,-15.89,-52.26,73.45,58,98,2.84,overcast clouds,0.0,0.0
88,Zeewolde,NL,52.33,5.48,55.99,84,16,3.0,few clouds,0.0,0.0
89,Srednekolymsk,RU,67.45,153.68,72.16,43,6,7.99,clear sky,0.0,0.0
90,New Norfolk,AU,-42.78,147.06,44.01,92,0,1.23,clear sky,0.0,0.0
91,Yarada,IN,17.65,83.27,78.8,88,75,3.36,mist,0.0,0.0
92,Cidreira,BR,-30.18,-50.21,55.35,87,21,7.0,few clouds,0.0,0.0
93,Aktas,KZ,49.78,72.96,57.2,100,0,2.24,clear sky,0.0,0.0
94,Polyanka,UA,50.26,27.69,48.72,95,54,8.86,broken clouds,0.0,0.0
95,Hay River,CA,60.82,-115.8,66.2,63,75,3.36,broken clouds,0.0,0.0
96,Fairbanks,US,64.84,-147.72,71.6,28,40,14.99,scattered clouds,0.0,0.0
97,Cabo San Lucas,MX,22.89,-109.91,95.0,41,40,11.41,scattered clouds,0.0,0.0
98,Illapel,CL,-31.63,-71.17,60.26,44,100,2.66,overcast clouds,0.0,0.0
99,Dicabisagan,PH,17.08,122.42,83.41,75,100,2.3,light rain,0.0,0.0
100,Marilia,BR,-22.21,-49.95,66.65,64,0,1.86,clear sky,0.0,0.0
101,Roma,US,43.21,-75.46,73.4,73,1,3.36,clear sky,0.0,0.0
102,Port Alfred,ZA,-33.59,26.89,59.67,34,0,9.48,clear sky,0.0,0.0
103,Saldanha,ZA,-33.01,17.94,57.2,93,65,17.22,broken clouds,0.0,0.0
104,Ponta Do Sol,PT,32.67,-17.1,68.0,68,20,14.99,few clouds,0.0,0.0
105,La Ronge,CA,55.1,-105.28,66.2,88,90,4.7,thunderstorm with light rain,0.0,0.0
106,Lompoc,US,34.64,-120.46,72.0,64,0,13.87,clear sky,0.0,0.0
107,Inuvik,CA,68.35,-133.72,59.0,62,90,2.24,shower rain,0.0,0.0
108,Ukiah,US,39.15,-123.21,95.0,19,1,10.29,clear sky,0.0,0.0
109,Inhambane,MZ,-23.86,35.38,59.41,76,16,6.42,few clouds,0.0,0.0
110,Albany,US,42.6,-73.97,82.99,53,95,1.99,overcast clouds,0.0,0.0
111,Awbari,LY,26.59,12.78,81.84,23,0,8.59,clear sky,0.0,0.0
112,Petrozavodsk,RU,61.78,34.35,48.2,93,92,2.24,overcast clouds,0.0,0.0
113,Kalachinsk,RU,55.05,74.58,59.88,79,0,7.36,clear sky,0.0,0.0
114,Nikolskoye,RU,59.7,30.79,51.8,81,0,1.23,fog,0.0,0.0
115,Pacific Grove,US,36.62,-121.92,75.99,52,1,9.17,clear sky,0.0,0.0
116,Gazli,UZ,40.13,63.45,80.49,23,0,16.55,clear sky,0.0,0.0
117,Kamaishi,JP,39.27,141.88,62.6,93,75,2.24,light intensity shower rain,0.0,0.0
118,Hubli,IN,15.35,75.17,71.78,90,100,10.27,overcast clouds,0.0,0.0
119,Stephenville,US,32.22,-98.2,100.4,31,1,5.82,clear sky,0.0,0.0
120,Tiruchchendur,IN,8.48,78.12,81.12,75,100,5.97,overcast clouds,0.0,0.0
121,Poum,NC,-20.23,164.02,73.87,76,45,9.71,scattered clouds,0.0,0.0
122,Umm Lajj,SA,25.02,37.27,82.96,74,99,7.05,overcast clouds,0.0,0.0
123,Esperance,AU,-33.87,121.9,48.2,61,0,20.8,clear sky,0.0,0.0
124,Belle Fourche,US,44.67,-103.85,93.0,40,1,13.87,clear sky,0.0,0.0
125,Te Anau,NZ,-45.42,167.72,42.03,74,3,0.54,clear sky,0.0,0.0
126,Tambacounda,SN,13.75,-13.76,80.6,78,75,6.93,thunderstorm,0.0,0.0
127,Adrar,MR,20.5,-10.07,92.84,31,71,10.6,broken clouds,0.0,0.0
128,Laibin,CN,23.7,109.27,82.98,83,35,7.25,scattered clouds,0.0,0.0
129,Murchison,NZ,-41.8,172.33,55.96,70,51,1.92,broken clouds,0.0,0.0
130,Bull Savanna,JM,17.89,-77.59,77.52,78,7,5.21,clear sky,0.0,0.0
131,Oinacu,RO,43.95,26.02,64.99,87,75,10.29,broken clouds,0.0,0.0
132,Omboue,GA,-1.57,9.26,72.68,88,100,7.99,overcast clouds,0.0,0.0
133,Kununurra,AU,-15.77,128.73,71.6,21,92,10.29,overcast clouds,0.0,0.0
134,Mackay,AU,-21.15,149.2,69.8,37,75,9.17,broken clouds,0.0,0.0
135,Kirakira,SB,-10.45,161.92,83.07,76,11,15.01,light rain,0.0,0.0
136,Thompson,CA,55.74,-97.86,71.6,60,75,6.93,broken clouds,0.0,0.0
137,Adre,TD,13.47,22.2,75.51,66,100,2.86,overcast clouds,0.0,0.0
138,Ladario,BR,-19.0,-57.6,76.66,59,0,1.28,clear sky,0.0,0.0
139,Chicama,PE,-7.84,-79.15,62.82,82,10,4.43,clear sky,0.0,0.0
140,Yellowknife,CA,62.46,-114.35,71.6,49,75,3.36,broken clouds,0.0,0.0
141,Mehamn,NO,71.04,27.85,48.16,81,0,4.81,clear sky,0.0,0.0
142,Provideniya,RU,64.38,-173.3,50.0,81,40,15.66,fog,0.0,0.0
143,Dawlatabad,AF,36.41,64.91,74.08,36,14,2.62,few clouds,0.0,0.0
144,Sakakah,SA,29.97,40.21,79.95,28,0,9.69,clear sky,0.0,0.0
145,Chokurdakh,RU,70.63,147.92,72.19,43,37,9.31,scattered clouds,0.0,0.0
146,Flinders,AU,-34.58,150.86,57.99,77,0,8.99,clear sky,0.0,0.0
147,Broome,US,42.25,-75.83,71.01,88,90,11.41,light rain,0.0,0.0
148,Salinopolis,BR,-0.61,-47.36,79.57,84,75,11.54,broken clouds,0.0,0.0
149,Hermanus,ZA,-34.42,19.23,55.0,87,100,8.01,light rain,0.0,0.0
150,Lensk,RU,60.73,114.93,66.97,72,100,3.49,overcast clouds,0.0,0.0
151,Half Moon Bay,US,37.46,-122.43,73.99,72,1,10.29,haze,0.0,0.0
152,Manggar,ID,-2.88,108.27,81.18,83,100,14.5,light rain,0.0,0.0
153,Gat,IL,31.61,34.76,73.99,83,16,4.43,few clouds,0.0,0.0
154,Najran,SA,17.49,44.13,80.1,33,43,6.96,scattered clouds,0.0,0.0
155,Xichang,CN,27.9,102.26,69.39,75,98,1.95,overcast clouds,0.0,0.0
