City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ranaghat,IN,82.4,haze,23.18,88.58,Hotel Pratiksha
24,Butaritari,KI,83.8,broken clouds,3.07,172.79,Isles Sunset Lodge
27,Sola,VU,80.6,overcast clouds,-13.88,167.55,Leumerus Bungalows
29,Hilo,US,84.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
42,Manuk Mangkaw,PH,83.03,overcast clouds,4.8,119.85,
43,Hithadhoo,MV,84.56,scattered clouds,-0.6,73.08,Scoop Guest House
57,Atuona,PF,79.52,clear sky,-9.8,-139.03,Villa Enata
62,Gazanjyk,TM,79.12,few clouds,39.24,55.52,Railway motel
63,Riyadh,SA,84.31,scattered clouds,24.69,46.72,InterContinental Riyadh
68,Lorengau,PG,85.59,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
69,Kieta,PG,79.23,moderate rain,-6.22,155.63,
73,Victoria,HK,87.01,clear sky,22.29,114.16,Mini Hotel Central
82,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
91,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
99,Dicabisagan,PH,83.41,light rain,17.08,122.42,
110,Albany,US,82.99,overcast clouds,42.6,-73.97,
111,Awbari,LY,81.84,clear sky,26.59,12.78,فندق أوباري
116,Gazli,UZ,80.49,clear sky,40.13,63.45,
120,Tiruchchendur,IN,81.12,overcast clouds,8.48,78.12,Hotel Udhayam International
122,Umm Lajj,SA,82.96,overcast clouds,25.02,37.27,Moon light Furnished Units
126,Tambacounda,SN,80.6,thunderstorm,13.75,-13.76,
128,Laibin,CN,82.98,scattered clouds,23.7,109.27,Laibin Hotel
135,Kirakira,SB,83.07,light rain,-10.45,161.92,SanBiz Lodge
144,Sakakah,SA,79.95,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
148,Salinopolis,BR,79.57,broken clouds,-0.61,-47.36,Hotel Salinópolis
152,Manggar,ID,81.18,light rain,-2.88,108.27,Guest Hotel
154,Najran,SA,80.1,scattered clouds,17.49,44.13,محمد هادي ال فطيح
158,Laguna De Perlas,NI,78.6,moderate rain,12.34,-83.67,Hotel Best View
162,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
166,Tutoia,BR,78.6,light rain,-2.76,-42.27,Pousada Guará's
169,Vanimo,PG,83.41,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
177,Puerto Escondido,MX,84.2,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
187,Guerrero Negro,MX,78.06,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
189,Garden City,US,82.4,scattered clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
190,Westport,US,82.99,clear sky,41.14,-73.36,The Westport Inn
191,Humaita,BR,79.74,overcast clouds,-7.51,-63.02,Corrêa Hotel
194,Kudahuvadhoo,MV,84.11,few clouds,2.67,72.89,Kudahuvadhoo Retreat
195,Palmer,US,79.0,scattered clouds,42.16,-72.33,Wedgewood Motel
196,Pontianak,ID,78.93,broken clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
197,Fare,PF,79.48,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
200,Fukue,JP,78.8,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
201,Nishihara,JP,87.8,broken clouds,26.18,127.76,Minshuku Agaihama
206,Jackson,US,86.0,clear sky,42.42,-122.83,Agate Village Apartments
208,Biak,ID,80.49,broken clouds,-0.91,122.88,Kost Ariz
210,Havelock,US,84.2,broken clouds,34.88,-76.9,Sherwood Motel
216,Sorong,ID,81.55,clear sky,-0.88,131.25,The Waigo Hotel
221,Allapalli,IN,79.29,overcast clouds,19.42,80.07,Hotel IK Residency
222,Laureles,US,90.0,clear sky,26.11,-97.49,Los Fresnos Inn
223,Kailua,US,84.2,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
227,Ishurdi,BD,82.15,broken clouds,24.13,89.08,অরন্য ছাত্রাবাস
232,Namatanai,PG,79.43,overcast clouds,-3.67,152.43,Namatanai Hotel
238,Abdanan,IR,79.16,clear sky,32.99,47.42,سیروس عنبری
250,Bubaque,GW,79.05,moderate rain,11.28,-15.83,Casa Dora
253,Sinnamary,GF,78.01,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
254,Buala,SB,82.4,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
255,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
260,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
261,Port Blair,IN,82.69,overcast clouds,11.67,92.75,Hotel Sentinel
273,San Policarpo,PH,84.25,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
274,Caucaia,BR,78.8,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
282,Limon,CR,82.4,clear sky,10.0,-83.03,Hotel Playa Bonita
283,Santa Rosa De Aguan,HN,82.49,scattered clouds,15.95,-85.72,
284,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
296,Shiloh,US,84.2,clear sky,38.56,-89.9,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
301,Tailai,CN,82.08,broken clouds,46.38,123.4,Pearl Garden Hotel
304,Saint Anthony,US,82.4,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
311,Luwuk,ID,81.97,broken clouds,-0.95,122.79,Hotel Santika Luwuk
320,Quang Ngai,VN,85.48,clear sky,15.12,108.8,Central Hotel
321,Chabahar,IR,84.25,overcast clouds,25.29,60.64,هتل گدروشیا
322,Dafeng,CN,83.59,few clouds,23.45,108.59,Shenglong Hotel
326,Trat,TH,78.8,moderate rain,12.5,102.5,สวนหนิง-อัศ
339,Bethel,US,78.8,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
340,Madang,PG,85.21,overcast clouds,-5.22,145.8,Comfort Inn Hotel
341,Topeka,US,84.2,clear sky,39.05,-95.68,Capitol Plaza Hotel Topeka
342,Buraydah,SA,89.04,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
345,Celestun,MX,81.43,moderate rain,20.87,-90.4,Posada Lilia
349,Bogande,BF,80.46,overcast clouds,12.97,-0.14,CSPS DE WALLIN
350,Pingxiang,CN,84.61,broken clouds,27.62,113.85,Haiyuntian Hotel
354,Itoman,JP,87.8,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
355,Road Town,VG,82.99,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
360,Teknaf,BD,80.8,light rain,20.86,92.31,Magnum Engineering & Construction
364,Labuhan,ID,78.51,overcast clouds,-6.88,112.21,bador sepret
369,Bilma,NE,88.0,broken clouds,18.69,12.92,Expeditions Ténére voyages
373,Oussouye,SN,80.6,broken clouds,12.48,-16.55,Auberge du Routard
386,Bandarbeyla,SO,82.18,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
394,Nuevo Progreso,MX,86.0,clear sky,23.17,-97.95,Balneario Rio el Paraiso
398,Ambuclao,PH,78.3,overcast clouds,16.48,120.75,Lolo Cancio’s Inn & Restaurant
400,Ust-Maya,RU,80.38,overcast clouds,60.42,134.53,
403,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
404,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
405,Kolokani,ML,80.42,broken clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
406,Andros Town,BS,82.4,broken clouds,24.7,-77.77,Hanks place
407,Qinggang,CN,80.28,clear sky,46.68,126.08,Gold Hotel
408,Micoud,LC,82.4,few clouds,13.82,-60.9,Zamacà
412,La Romana,DO,82.4,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
426,Gushikawa,JP,87.8,clear sky,26.35,127.87,Kirari Guest House
433,Mawana,IN,85.37,scattered clouds,29.1,77.92,Gareeb Nawaz Hotel Mawana
435,Pochutla,MX,84.0,overcast clouds,15.74,-96.47,Hotel Posada San Jose
437,Great Bend,US,89.6,clear sky,38.36,-98.76,Best Western Angus Inn
439,Tres Palos,MX,87.8,broken clouds,18.18,-101.62,
441,Aquiraz,BR,78.8,broken clouds,-3.9,-38.39,Hotel Laguna Blu
444,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
445,Matara,LK,79.14,overcast clouds,5.95,80.54,Amaloh Boutique Resort
448,Ban Nahin,LA,81.3,light rain,18.24,104.21,
456,Salalah,OM,80.6,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
460,Eyl,SO,81.61,scattered clouds,7.98,49.82,Amiin Hotel
463,Nongpoh,IN,82.4,mist,25.9,91.88,PWD IB
464,Marzuq,YE,79.99,overcast clouds,14.4,46.47,
472,Dingle,PH,84.13,light rain,11.0,122.67,Camp Pasica
473,Dhangadhi,NP,80.74,overcast clouds,28.71,80.6,Hotel Devotee
474,Dzhebariki-Khaya,RU,82.2,clear sky,62.22,135.8,
478,Bhadrachalam,IN,79.79,light rain,17.67,80.88,Hotel Srinidhi Residency
480,Pierre,US,84.2,clear sky,44.37,-100.35,Ramkota Hotel
486,Tecoanapa,MX,82.99,overcast clouds,16.52,-98.75,Hotel Manglares
489,Danshui,CN,87.01,clear sky,22.8,114.47,Grand Skylight International Hotel Huizhou
492,Nhulunbuy,AU,78.8,broken clouds,-12.23,136.77,East Arnhem Real Estate
496,Kampong Cham,KH,79.16,broken clouds,11.99,105.46,7 Makara Hotel
498,Karachi,PK,86.0,smoke,24.91,67.08,HOTEL MEHRAN
503,Mankato,US,80.6,few clouds,44.16,-94.0,Hilton Garden Inn Mankato Downtown
508,Ruidoso,US,84.99,light rain,33.33,-105.67,Inn of the Mountain Gods
513,Nouakchott,MR,80.6,few clouds,18.09,-15.98,Hôtel Iman
519,Chara,RU,80.33,few clouds,56.91,118.26,
525,Basco,PH,84.83,clear sky,20.45,121.97,Nathaniel's Lodge
530,Filadelfia,US,87.01,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
