City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pimentel,PE,2020-07-11 03:32:32,-6.84,-79.93,62.6,77,28,14.99
1,Ushuaia,AR,2020-07-11 03:31:53,-54.8,-68.3,32.0,94,20,4.7
2,Hilo,US,2020-07-11 03:32:33,19.73,-155.09,82.4,58,90,9.17
3,Beeville,US,2020-07-11 03:32:34,28.4,-97.75,82.99,94,1,4.7
4,Punta Arenas,CL,2020-07-11 03:32:34,-53.15,-70.92,30.2,92,84,9.17
5,Haines Junction,CA,2020-07-11 03:32:35,60.75,-137.51,58.48,62,100,3.65
6,Hermanus,ZA,2020-07-11 03:32:35,-34.42,19.23,53.01,80,96,11.01
7,Mataura,NZ,2020-07-11 03:32:36,-46.19,168.86,48.25,82,22,5.86
8,Bouar,CF,2020-07-11 03:32:36,5.93,15.6,64.89,100,100,4.72
9,Chuy,UY,2020-07-11 03:32:36,-33.7,-53.46,50.18,89,100,9.33
10,Saint-Augustin,CA,2020-07-11 03:29:24,51.23,-58.65,58.12,92,87,8.79
11,Ankang,CN,2020-07-11 03:32:37,32.68,109.02,68.95,87,100,3.47
12,Pipar,IN,2020-07-11 03:32:37,26.39,73.54,90.28,61,46,17.02
13,Cape Town,ZA,2020-07-11 03:31:52,-33.93,18.42,53.01,81,75,18.34
14,Kuching,MY,2020-07-11 03:32:37,1.55,110.33,80.6,88,40,9.17
15,Zaykovo,RU,2020-07-11 03:32:37,57.56,62.76,80.64,71,13,6.35
16,Mahebourg,MU,2020-07-11 03:28:46,-20.41,57.7,66.2,88,75,18.34
17,San Vicente,AR,2020-07-11 03:32:37,-26.62,-54.13,57.94,87,3,4.74
18,Grindavik,IS,2020-07-11 03:27:56,63.84,-22.43,48.2,100,90,9.17
19,Maningrida,AU,2020-07-11 03:32:38,-12.07,134.27,87.39,51,39,10.78
20,Lasa,IT,2020-07-11 03:29:20,46.62,10.7,55.4,93,75,8.05
21,Korla,CN,2020-07-11 03:27:59,41.76,86.15,81.97,26,57,2.08
22,Lorengau,PG,2020-07-11 03:32:38,-2.02,147.27,83.68,79,98,12.08
23,Aloleng,PH,2020-07-11 03:32:38,16.13,119.78,86.94,68,88,7.07
24,Dikson,RU,2020-07-11 03:29:22,73.51,80.55,44.08,80,50,14.74
25,Lebu,CL,2020-07-11 03:32:39,-37.62,-73.65,48.16,72,77,7.09
26,Porto Novo,BJ,2020-07-11 03:31:56,6.5,2.6,77.0,94,20,9.17
27,Busselton,AU,2020-07-11 03:32:39,-33.65,115.33,57.0,53,0,11.65
28,Hobart,AU,2020-07-11 03:28:27,-42.88,147.33,50.0,71,100,9.17
29,Rikitea,PF,2020-07-11 03:32:39,-23.12,-134.97,67.98,65,56,15.88
30,East London,ZA,2020-07-11 03:32:39,-33.02,27.91,60.8,51,5,19.46
31,Makakilo City,US,2020-07-11 03:32:39,21.35,-158.09,84.2,54,40,10.29
32,Butaritari,KI,2020-07-11 03:32:39,3.07,172.79,82.83,77,100,13.85
33,Leningradskiy,RU,2020-07-11 03:32:39,69.38,178.42,46.24,70,22,15.28
34,Vaini,TO,2020-07-11 03:32:40,-21.2,-175.2,73.4,78,75,12.75
35,Mar Del Plata,AR,2020-07-11 03:30:40,-38.0,-57.56,42.01,75,0,10.29
36,Namibe,AO,2020-07-11 03:32:40,-15.2,12.15,58.73,71,0,7.7
37,Miri,MY,2020-07-11 03:30:14,4.41,114.01,84.2,70,20,8.05
38,Constitucion,CL,2020-07-11 03:32:40,-35.33,-72.42,48.61,82,80,6.71
39,Geraldton,AU,2020-07-11 03:32:40,-28.77,114.6,64.4,36,0,21.92
40,Sorland,NO,2020-07-11 03:32:40,67.67,12.69,52.18,83,64,20.31
41,Basco,PH,2020-07-11 03:32:40,20.45,121.97,85.39,66,5,1.92
42,Cidreira,BR,2020-07-11 03:32:41,-30.18,-50.21,58.24,73,9,5.1
43,Hanover,DE,2020-07-11 03:30:16,52.37,9.73,48.99,100,0,3.36
44,Tuktoyaktuk,CA,2020-07-11 03:32:41,69.45,-133.04,42.8,87,75,11.41
45,New Norfolk,AU,2020-07-11 03:32:41,-42.78,147.06,50.0,74,100,8.01
46,Kaitangata,NZ,2020-07-11 03:32:41,-46.28,169.85,57.0,46,15,8.99
47,Mosquera,CO,2020-07-11 03:32:41,4.71,-74.23,55.4,82,40,2.24
48,Jamestown,US,2020-07-11 03:32:41,42.1,-79.24,71.01,94,40,4.7
49,Ihosy,MG,2020-07-11 03:32:41,-22.4,46.12,55.69,92,32,3.33
50,Altay,CN,2020-07-11 03:32:42,47.87,88.12,76.93,33,30,6.46
51,Bengkulu,ID,2020-07-11 03:32:42,-3.8,102.27,85.62,62,4,5.19
52,Bonavista,CA,2020-07-11 03:32:42,48.65,-53.11,52.0,85,9,3.0
53,Qaanaaq,GL,2020-07-11 03:32:42,77.48,-69.36,43.14,73,98,8.9
54,Elizabeth City,US,2020-07-11 03:32:42,36.29,-76.25,82.4,83,1,9.17
55,Rawson,AR,2020-07-11 03:32:42,-43.3,-65.1,39.88,67,18,13.33
56,Bijie,CN,2020-07-11 03:32:42,27.31,105.29,74.5,84,100,2.77
57,Castro,BR,2020-07-11 03:27:47,-24.79,-50.01,51.35,91,0,3.98
58,Albany,US,2020-07-11 03:32:43,42.6,-73.97,75.0,92,99,7.45
59,Bredasdorp,ZA,2020-07-11 03:32:43,-34.53,20.04,51.8,87,60,18.34
60,Vallenar,CL,2020-07-11 03:32:43,-28.57,-70.76,58.19,59,55,0.98
61,Santa Marta,CO,2020-07-11 03:32:36,11.24,-74.2,79.0,85,45,1.01
62,Gbarnga,LR,2020-07-11 03:32:43,7.0,-9.47,68.22,98,84,2.01
63,Saskylakh,RU,2020-07-11 03:32:43,71.92,114.08,73.11,43,100,22.91
64,Saldanha,ZA,2020-07-11 03:32:43,-33.01,17.94,51.8,81,73,10.29
65,Mount Gambier,AU,2020-07-11 03:32:44,-37.83,140.77,50.0,100,75,4.7
